State,Year,Population
Kansas,2011,2872529
Kansas,2012,2891164
Kansas,2013,2901727
Kansas,2014,2911564
Kansas,2015,2922703
Kansas,2016,2927251
Kansas,2017,2927448
Kansas,2018,2931587
Kansas,2019,2933756
Kansas,2020,2938274
Kansas,2021,2938966
Kansas,2022,2938034
Kansas,2023,2949749
Kansas,2024,2965252
Kentucky,2008,4289878
Kentucky,2009,4317074
Kentucky,2010,4349159
Kentucky,2011,4374302
Kentucky,2012,4394147
Kentucky,2013,4415978
Kentucky,2014,4428854
Kentucky,2015,4443778
Kentucky,2016,4457755
Kentucky,2017,4475829
Kentucky,2018,4487302
Kentucky,2019,4498163
Kentucky,2020,4508271
Kentucky,2021,4508348
Kentucky,2022,4521238
Kentucky,2023,4549953
Kentucky,2024,4584046
Louisiana,2008,4435586
Louisiana,2009,4491648
Louisiana,2010,4544804
Louisiana,2011,4577089
Louisiana,2012,4603590
Louisiana,2013,4628239
Louisiana,2014,4648813
Louisiana,2015,4670550
Louisiana,2016,4685576
Louisiana,2017,4678580
Louisiana,2018,4670033
Louisiana,2019,4664544
Louisiana,2020,4652145
Louisiana,2021,4628595
Louisiana,2022,4600892
Louisiana,2023,4598777
Louisiana,2024,4614878
Maine,2008,1330509
Maine,2009,1329590
Maine,2010,1327967
Maine,2011,1330060
Maine,2012,1330954
Maine,2013,1332673
Maine,2014,1336617
Maine,2015,1335768
Maine,2016,1340292
Maine,2017,1344956
Maine,2018,1350606
Maine,2019,1357523
Maine,2020,1364546
Maine,2021,1379009
Maine,2022,1391585
Maine,2023,1401992
Maine,2024,1408438
Maryland,2008,5684965
Maryland,2009,5730388
Maryland,2010,5791715
Maryland,2011,5854930
Maryland,2012,5914854
Maryland,2013,5963434
Maryland,2014,6010059
Maryland,2015,6050280
Maryland,2016,6080556
Maryland,2017,6113486
Maryland,2018,6139211
Maryland,2019,6163769
Maryland,2020,6178387
Maryland,2021,6176035
Maryland,2022,6183257
Maryland,2023,6204927
Maryland,2024,6245314
Massachusetts,2008,6468967
Massachusetts,2009,6517613
Massachusetts,2010,6569724
Massachusetts,2011,6630673
Massachusetts,2012,6693932
Massachusetts,2013,6757991
Massachusetts,2014,6820869
Massachusetts,2015,6866661
Massachusetts,2016,6909664
Massachusetts,2017,6959114
Massachusetts,2018,6994446
Massachusetts,2019,7016781
Massachusetts,2020,6985320
Massachusetts,2021,6996721
Massachusetts,2022,7025465
Massachusetts,2023,7073479
Massachusetts,2024,7138560
Michigan,2008,9946889
Michigan,2009,9901591
Michigan,2010,9880111
Michigan,2011,9895652
Michigan,2012,9921001
Michigan,2013,9947598
Michigan,2014,9974914
Michigan,2015,9987448
Michigan,2016,10017194
Michigan,2017,10049914
Michigan,2018,10070532
Michigan,2019,10078126
Michigan,2020,10072294
Michigan,2021,10042362
Michigan,2022,10043906
Michigan,2023,10062124
Michigan,2024,10099962
Minnesota,2008,5247018
Minnesota,2009,5281203
Minnesota,2010,5312197
Minnesota,2011,5352946
Minnesota,2012,5388902
Minnesota,2013,5431187
Minnesota,2014,5474193
Minnesota,2015,5510593
Minnesota,2016,5557028
Minnesota,2017,5606013
Minnesota,2018,5650556
Minnesota,2019,5686910
Minnesota,2020,5710562
Minnesota,2021,5714055
Minnesota,2022,5727565
Minnesota,2023,5752998
Minnesota,2024,5797405
Mississippi,2008,2947806
Mississippi,2009,2958774
Mississippi,2010,2970367
Mississippi,2011,2977902
Mississippi,2012,2982356
Mississippi,2013,2986599
Mississippi,2014,2987656
Mississippi,2015,2985000
Mississippi,2016,2984364
Mississippi,2017,2983448
Mississippi,2018,2974657
Mississippi,2019,2969008
Mississippi,2020,2958385
Mississippi,2021,2947603
Mississippi,2022,2941237
Mississippi,2023,2942470
Mississippi,2024,2950172
Missouri,2008,5923916
Missouri,2009,5961088
Missouri,2010,5996167
Missouri,2011,6011574
Missouri,2012,6026733
Missouri,2013,6044008
Missouri,2014,6060462
Missouri,2015,6077056
Missouri,2016,6093343
Missouri,2017,6113654
Missouri,2018,6128572
Missouri,2019,6143374
Missouri,2020,6155074
Missouri,2021,6172551
Missouri,2022,6179285
Missouri,2023,6205956
Missouri,2024,6243544
Montana,2008,976415
Montana,2009,983982
Montana,2010,990874
Montana,2011,998243
Montana,2012,1005475
Montana,2013,1016046
Montana,2014,1025126
Montana,2015,1034544
Montana,2016,1045768
Montana,2017,1058073
Montana,2018,1066610
Montana,2019,1075495
Montana,2020,1087156
Montana,2021,1106416
Montana,2022,1121533
Montana,2023,1130612
Montana,2024,1137557
Nebraska,2008,1796378
Nebraska,2009,1812683
Nebraska,2010,1830194
Nebraska,2011,1843937
Nebraska,2012,1859140
Nebraska,2013,1873681
Nebraska,2014,1890242
Nebraska,2015,1904766
Nebraska,2016,1921616
Nebraska,2017,1934551
Nebraska,2018,1945483
Nebraska,2019,1954962
Nebraska,2020,1963318
Nebraska,2021,1964697
Nebraska,2022,1972595
Nebraska,2023,1988172
Nebraska,2024,2005591
Nevada,2008,2653630
Nevada,2009,2684665
Nevada,2010,2701888
Nevada,2011,2710129
Nevada,2012,2739290
Nevada,2013,2769188
Nevada,2014,2808779
Nevada,2015,2855986
Nevada,2016,2904614
Nevada,2017,2954768
Nevada,2018,3011007
Nevada,2019,3068665
Nevada,2020,3116851
Nevada,2021,3148472
Nevada,2022,3177672
Nevada,2023,3211077
Nevada,2024,3253543
New Hampshire,2008,1315906
New Hampshire,2009,1316102
New Hampshire,2010,1317105
New Hampshire,2011,1321939
New Hampshire,2012,1327372
New Hampshire,2013,1331163
New Hampshire,2014,1339344
New Hampshire,2015,1343764
New Hampshire,2016,1351178
New Hampshire,2017,1359076
New Hampshire,2018,1364941
New Hampshire,2019,1371857
New Hampshire,2020,1378752
New Hampshire,2021,1387907
New Hampshire,2022,1396647
New Hampshire,2023,1401530
New Hampshire,2024,1408518
New Jersey,2008,8711090
New Jersey,2009,8755602
New Jersey,2010,8809368
New Jersey,2011,8878245
New Jersey,2012,8935248
New Jersey,2013,8987175
New Jersey,2014,9036406
New Jersey,2015,9079218
New Jersey,2016,9122374
New Jersey,2017,9176713
New Jersey,2018,9220072
New Jersey,2019,9259376
New Jersey,2020,9270476
New Jersey,2021,9266509
New Jersey,2022,9298402
New Jersey,2023,9395315
New Jersey,2024,9506354
New Mexico,2008,2010662
New Mexico,2009,2036802
New Mexico,2010,2064898
New Mexico,2011,2082130
New Mexico,2012,2090282
New Mexico,2013,2096538
New Mexico,2014,2095081
New Mexico,2015,2096056
New Mexico,2016,2099682
New Mexico,2017,2101111
New Mexico,2018,2103161
New Mexico,2019,2110180
New Mexico,2020,2118446
New Mexico,2021,2117300
New Mexico,2022,2112859
New Mexico,2023,2119349
New Mexico,2024,2126774
New York,2008,19212436
New York,2009,19307066
New York,2010,19420354
New York,2011,19602134
New York,2012,19758616
New York,2013,19892558
New York,2014,20001317
New York,2015,20087023
New York,2016,20148134
New York,2017,20187407
New York,2018,20219472
New York,2019,20220321
New York,2020,20122262
New York,2021,19835345
New York,2022,19713025
New York,2023,19786543
New York,2024,20001419
North Carolina,2008,9309449
North Carolina,2009,9449566
North Carolina,2010,9571037
North Carolina,2011,9641131
North Carolina,2012,9719755
North Carolina,2013,9800429
North Carolina,2014,9876774
North Carolina,2015,9962464
North Carolina,2016,10072775
North Carolina,2017,10172498
North Carolina,2018,10273864
North Carolina,2019,10369657
North Carolina,2020,10450215
North Carolina,2021,10565503
North Carolina,2022,10705768
North Carolina,2023,10871849
North Carolina,2024,11052061
North Dakota,2008,657569
North Dakota,2009,664968
North Dakota,2010,675097
North Dakota,2011,687257
North Dakota,2012,705347
North Dakota,2013,727655
North Dakota,2014,744628
North Dakota,2015,762814
North Dakota,2016,764781
North Dakota,2017,766807
North Dakota,2018,771499
North Dakota,2019,776548
North Dakota,2020,779612
North Dakota,2021,777977
North Dakota,2022,780191
North Dakota,2023,787071
North Dakota,2024,793387
Ohio,2008,11515391
Ohio,2009,11528896
Ohio,2010,11541932
Ohio,2011,11558178
Ohio,2012,11573400
Ohio,2013,11612081
Ohio,2014,11648921
Ohio,2015,11674622
Ohio,2016,11702354
Ohio,2017,11737959
Ohio,2018,11763104
Ohio,2019,11788679
Ohio,2020,11798534
Ohio,2021,11761443
Ohio,2022,11764950
Ohio,2023,11808390
Ohio,2024,11860621
Oklahoma,2008,3668976
Oklahoma,2009,3717572
Oklahoma,2010,3759558
Oklahoma,2011,3786536
Oklahoma,2012,3815196
Oklahoma,2013,3847936
Oklahoma,2014,3871400
Oklahoma,2015,3900900
Oklahoma,2016,3916688
Oklahoma,2017,3920316
Oklahoma,2018,3928371
Oklahoma,2019,3943727
Oklahoma,2020,3965243
Oklahoma,2021,3992760
Oklahoma,2022,4025327
Oklahoma,2023,4062716
Oklahoma,2024,4097758
Oregon,2008,3768748
Oregon,2009,3808600
Oregon,2010,3837609
Oregon,2011,3872651
Oregon,2012,3900064
Oregon,2013,3924055
Oregon,2014,3965375
Oregon,2015,4018453
Oregon,2016,4093165
Oregon,2017,4147171
Oregon,2018,4183398
Oregon,2019,4215959
Oregon,2020,4243544
Oregon,2021,4254691
Oregon,2022,4245964
Oregon,2023,4250392
Oregon,2024,4265324
Pennsylvania,2008,12612285
Pennsylvania,2009,12666858
Pennsylvania,2010,12716596
Pennsylvania,2011,12773059
Pennsylvania,2012,12816003
Pennsylvania,2013,12847236
Pennsylvania,2014,12880907
Pennsylvania,2015,12899169
Pennsylvania,2016,12918673
Pennsylvania,2017,12945701
Pennsylvania,2018,12980946
Pennsylvania,2019,12991539
Pennsylvania,2020,12995576
Pennsylvania,2021,13016628
Pennsylvania,2022,12984655
Pennsylvania,2023,13009406
Pennsylvania,2024,13045848
Rhode Island,2008,1055003
Rhode Island,2009,1053646
Rhode Island,2010,1054975
Rhode Island,2011,1058746
Rhode Island,2012,1063756
Rhode Island,2013,1068358
Rhode Island,2014,1073245
Rhode Island,2015,1077555
Rhode Island,2016,1082431
Rhode Island,2017,1085105
Rhode Island,2018,1091824
Rhode Island,2019,1094580
Rhode Island,2020,1096487
Rhode Island,2021,1097381
Rhode Island,2022,1098275
Rhode Island,2023,1101183
Rhode Island,2024,1110415
South Carolina,2008,4528996
South Carolina,2009,4589872
South Carolina,2010,4633669
South Carolina,2011,4661744
South Carolina,2012,4699358
South Carolina,2013,4738067
South Carolina,2014,4789723
South Carolina,2015,4850136
South Carolina,2016,4908404
South Carolina,2017,4963742
South Carolina,2018,5019607
South Carolina,2019,5076874
South Carolina,2020,5131992
South Carolina,2021,5194346
South Carolina,2022,5288957
South Carolina,2023,5390798
South Carolina,2024,5490316
South Dakota,2008,799124
South Dakota,2009,807067
South Dakota,2010,816068
South Dakota,2011,823113
South Dakota,2012,832730
South Dakota,2013,841120
South Dakota,2014,847538
South Dakota,2015,852029
South Dakota,2016,860557
South Dakota,2017,870094
South Dakota,2018,875247
South Dakota,2019,882486
South Dakota,2020,887808
South Dakota,2021,896303
South Dakota,2022,909156
South Dakota,2023,917739
South Dakota,2024,927110
Tennessee,2008,6247411
Tennessee,2009,6306019
Tennessee,2010,6356388
Tennessee,2011,6404657
Tennessee,2012,6463610
Tennessee,2013,6508290
Tennessee,2014,6559452
Tennessee,2015,6613679
Tennessee,2016,6673101
Tennessee,2017,6740060
Tennessee,2018,6806981
Tennessee,2019,6862615
Tennessee,2020,6927736
Tennessee,2021,6966687
Tennessee,2022,7063325
Tennessee,2023,7153029
Tennessee,2024,7251291
Texas,2008,24309039
Texas,2009,24801761
Texas,2010,25238386
Texas,2011,25627909
Texas,2012,26052403
Texas,2013,26433846
Texas,2014,26903208
Texas,2015,27394564
Texas,2016,27825975
Texas,2017,28188852
Texas,2018,28508309
Texas,2019,28856455
Texas,2020,29237895
Texas,2021,29572672
Texas,2022,30118002
Texas,2023,30719247
Texas,2024,31318578
Utah,2008,2663029
Utah,2009,2723421
Utah,2010,2776212
Utah,2011,2818798
Utah,2012,2861360
Utah,2013,2909190
Utah,2014,2951948
Utah,2015,3000449
Utah,2016,3064277
Utah,2017,3126779
Utah,2018,3181595
Utah,2019,3233028
Utah,2020,3283970
Utah,2021,3339874
Utah,2022,3393928
Utah,2023,3449259
Utah,2024,3502983
Vermont,2008,624151
Vermont,2009,624817
Vermont,2010,626366
Vermont,2011,629600
Vermont,2012,630693
Vermont,2013,632859
Vermont,2014,633872
Vermont,2015,635912
Vermont,2016,636397
Vermont,2017,639087
Vermont,2018,640680
Vermont,2019,641847
Vermont,2020,642965
Vermont,2021,647238
Vermont,2022,647614
Vermont,2023,647722
Vermont,2024,646521
Virginia,2008,7833496
Virginia,2009,7925937
Virginia,2010,8025105
Virginia,2011,8107953
Virginia,2012,8197400
Virginia,2013,8270221
Virginia,2014,8334206
Virginia,2015,8390494
Virginia,2016,8445270
Virginia,2017,8503046
Virginia,2018,8547370
Virginia,2019,8597508
Virginia,2020,8637303
Virginia,2021,8660007
Virginia,2022,8681038
Virginia,2023,8732034
Virginia,2024,8819642
Washington,2008,6562231
Washington,2009,6667426
Washington,2010,6743680
Washington,2011,6830840
Washington,2012,6904658
Washington,2013,6975001
Washington,2014,7068971
Washington,2015,7181417
Washington,2016,7316788
Washington,2017,7447469
Washington,2018,7549002
Washington,2019,7638923
Washington,2020,7726812
Washington,2021,7744316
Washington,2022,7786828
Washington,2023,7838655
Washington,2024,7927958
West Virginia,2008,1840310
West Virginia,2009,1847775
West Virginia,2010,1854404
West Virginia,2011,1857305
West Virginia,2012,1858706
West Virginia,2013,1856588
West Virginia,2014,1852948
West Virginia,2015,1846270
West Virginia,2016,1835935
West Virginia,2017,1822742
West Virginia,2018,1810572
West Virginia,2019,1800441
West Virginia,2020,1791670
West Virginia,2021,1785921
West Virginia,2022,1774003
West Virginia,2023,1770036
West Virginia,2024,1767402
Wisconsin,2008,5640996
Wisconsin,2009,5669264
Wisconsin,2010,5692038
Wisconsin,2011,5713359
Wisconsin,2012,5734379
Wisconsin,2013,5757584
Wisconsin,2014,5778789
Wisconsin,2015,5794536
Wisconsin,2016,5812814
Wisconsin,2017,5836809
Wisconsin,2018,5859000
Wisconsin,2019,5880280
Wisconsin,2020,5897371
Wisconsin,2021,5882128
Wisconsin,2022,5903472
Wisconsin,2023,5930350
Wisconsin,2024,5957168
Wyoming,2008,546043
Wyoming,2009,559851
Wyoming,2010,564402
Wyoming,2011,566844
Wyoming,2012,575491
Wyoming,2013,580937
Wyoming,2014,580959
Wyoming,2015,583671
Wyoming,2016,582007
Wyoming,2017,576240
Wyoming,2018,574783
Wyoming,2019,575327
Wyoming,2020,577669
Wyoming,2021,579662
Wyoming,2022,581742
Wyoming,2023,584666
Wyoming,2024,586722
